1;1;0.0000000;10000000
0;2;204.4158000;20000000
1;2;204.4098400;20000000
0;3;204.4010200;30000000
1;3;204.3428400;30000000
2;3;204.3929100;30000000
0;4;206.5649000;40000000
1;4;206.5219900;40000000
2;4;206.6509700;40000000
3;4;206.5680000;40000000
0;5;210.2949600;50000000
1;5;210.3889000;50000000
2;5;210.4408700;50000000
3;5;210.1740800;50000000
4;5;210.5450600;50000000
0;6;211.0037800;60000000
1;6;211.0111700;60000000
2;6;211.0459800;60000000
3;6;210.9980600;60000000
4;6;211.0021100;60000000
5;6;210.9911400;60000000
0;7;216.9129800;70000000
1;7;217.1909800;70000000
2;7;217.0159800;70000000
3;7;217.3500100;70000000
4;7;217.1409100;70000000
5;7;217.2529700;70000000
6;7;217.1609400;70000000
0;8;239.2020200;80000000
1;8;216.6929200;80000000
2;8;216.8169000;80000000
3;8;216.7480000;80000000
4;8;216.7539600;80000000
5;8;216.7649300;80000000
6;8;239.2151400;80000000
7;8;239.1121400;80000000
0;9;239.5470100;90000000
1;9;224.1239500;90000000
2;9;223.4158500;90000000
3;9;223.7920800;90000000
4;9;223.6259000;90000000
5;9;239.2239600;90000000
6;9;239.2580500;90000000
7;9;239.3698700;90000000
8;9;239.3968100;90000000
0;10;224.1189500;100000000
1;10;223.7558400;100000000
2;10;223.5689200;100000000
3;10;224.3230300;100000000
4;10;224.1389800;100000000
5;10;223.7570300;100000000
6;10;223.7620400;100000000
7;10;223.8769500;100000000
8;10;223.9098500;100000000
9;10;223.9220100;100000000
0;11;230.6380300;110000000
1;11;231.1148600;110000000
2;11;230.6950100;110000000
3;11;231.4059700;110000000
4;11;230.6089400;110000000
5;11;230.1869400;110000000
6;11;230.6020300;110000000
7;11;230.9818300;110000000
8;11;230.4389500;110000000
9;11;230.8151700;110000000
10;11;231.5611800;110000000
0;12;239.3651000;120000000
1;12;230.9331900;120000000
2;12;230.6881000;120000000
3;12;230.6311100;120000000
4;12;239.5999400;120000000
5;12;239.2001200;120000000
6;12;239.4449700;120000000
7;12;239.3231400;120000000
8;12;239.8681600;120000000
9;12;239.7229700;120000000
10;12;239.8610100;120000000
11;12;239.7029400;120000000
0;13;242.2740500;130000000
1;13;230.9448700;130000000
2;13;231.7161600;130000000
3;13;231.6188800;130000000
4;13;231.8589700;130000000
5;13;231.4019200;130000000
6;13;231.5490200;130000000
7;13;231.4519900;130000000
8;13;231.9068900;130000000
9;13;242.3150500;130000000
10;13;242.3000300;130000000
11;13;242.3009900;130000000
12;13;242.4068500;130000000
0;14;231.2479000;140000000
1;14;230.7198000;140000000
2;14;230.7059800;140000000
3;14;230.6599600;140000000
4;14;231.1899700;140000000
5;14;230.6811800;140000000
6;14;231.3461300;140000000
7;14;232.3470100;140000000
8;14;231.0068600;140000000
9;14;232.3689500;140000000
10;14;230.8790700;140000000
11;14;231.5039600;140000000
12;14;231.3568600;140000000
13;14;231.8878200;140000000
0;15;235.0149200;150000000
1;15;231.0590700;150000000
2;15;232.0380200;150000000
3;15;230.2489300;150000000
4;15;230.4639800;150000000
5;15;232.4180600;150000000
6;15;230.8371100;150000000
7;15;230.9799200;150000000
8;15;230.6640100;150000000
9;15;230.5879600;150000000
10;15;230.6261100;150000000
11;15;234.0560000;150000000
12;15;234.0860400;150000000
13;15;234.4200600;150000000
14;15;233.7319900;150000000
0;16;231.4560400;160000000
1;16;230.4298900;160000000
2;16;230.4921200;160000000
3;16;230.6921500;160000000
4;16;230.6239600;160000000
5;16;230.7739300;160000000
6;16;230.4730400;160000000
7;16;230.8931400;160000000
8;16;230.6950100;160000000
9;16;230.6938200;160000000
10;16;230.4987900;160000000
11;16;230.6029800;160000000
12;16;230.5800900;160000000
13;16;230.7310100;160000000
14;16;231.4460300;160000000
15;16;231.5721500;160000000
0;17;242.3341300;170000000
1;17;230.7789300;170000000
2;17;230.3271300;170000000
3;17;242.3889600;170000000
4;17;241.2259600;170000000
5;17;241.2829400;170000000
6;17;241.2021200;170000000
7;17;241.1129500;170000000
8;17;241.1909100;170000000
9;17;241.4841700;170000000
10;17;241.1720800;170000000
11;17;241.1510900;170000000
12;17;241.1539600;170000000
13;17;241.1940100;170000000
14;17;242.4929100;170000000
15;17;241.4288500;170000000
16;17;242.3880100;170000000
0;18;231.6620300;180000000
1;18;230.8120700;180000000
2;18;230.8988600;180000000
3;18;230.8788300;180000000
4;18;230.8468800;180000000
5;18;232.2638000;180000000
6;18;231.5521200;180000000
7;18;232.3200700;180000000
8;18;231.2719800;180000000
9;18;232.2189800;180000000
10;18;231.3649700;180000000
11;18;232.1319600;180000000
12;18;231.1248800;180000000
13;18;231.0991300;180000000
14;18;231.1589700;180000000
15;18;231.3740300;180000000
16;18;231.2581500;180000000
17;18;231.1611200;180000000
0;19;231.4100300;190000000
1;19;230.1328200;190000000
2;19;230.8349600;190000000
3;19;230.8821700;190000000
4;19;230.8111200;190000000
5;19;230.2639500;190000000
6;19;230.2441600;190000000
7;19;230.2870800;190000000
8;19;231.6272300;190000000
9;19;230.6451800;190000000
10;19;231.5971900;190000000
11;19;230.6010700;190000000
12;19;230.7410200;190000000
13;19;232.0079800;190000000
14;19;230.8290000;190000000
15;19;230.6671100;190000000
16;19;231.7788600;190000000
17;19;231.5189800;190000000
18;19;231.7252200;190000000
0;20;254.0381000;200000000
1;20;230.2880300;200000000
2;20;230.6299200;200000000
3;20;234.0569500;200000000
4;20;234.0328700;200000000
5;20;234.4718000;200000000
6;20;235.3279600;200000000
7;20;234.8270400;200000000
8;20;234.1041600;200000000
9;20;235.1989700;200000000
10;20;254.4670100;200000000
11;20;254.3451800;200000000
12;20;253.7481800;200000000
13;20;253.7219500;200000000
14;20;254.4999100;200000000
15;20;253.4198800;200000000
16;20;254.1070000;200000000
17;20;253.4079600;200000000
18;20;253.7009700;200000000
19;20;253.5450500;200000000
